CustomerID,LastTrans,FirstTrans,LastTransCost,SizeLastTrans,NoTrans,TimePeriod,TransPerUnitTime,NoOfTrans,CostPerUnitTime,CostPerTrans,TotalCost,SizePerUnitTime,SizePerTrans,Churn
MzEzMDQ4NjM,34,36,509147,4406,3,3,1.0,3,4006.6666666666665,4006.6666666666665,12020,422622.3333333333,422622.3333333333,1
MzEzMDQ4Njc,35,35,38376,322,1,1,1.0,1,322.0,322.0,322,38376.0,38376.0,1
MzEzMDQ5NDQ,34,35,12779,200,2,2,1.0,2,236.5,236.5,473,54177.5,54177.5,1
MzEzMDUwMjA,34,36,474522,3659,3,3,1.0,3,3632.0,3632.0,10896,506738.0,506738.0,1
MzEzMDUwMjI,34,36,361618,2635,3,3,1.0,3,1841.6666666666667,1841.6666666666667,5525,256648.0,256648.0,1
MzEzMDUwMjQ,34,36,150694,411,3,3,1.0,3,359.0,359.0,1077,135566.0,135566.0,1
MzEzMDUyOTc,34,35,51047,146,2,2,1.0,2,107.5,107.5,215,37615.0,37615.0,1
MzEzMDU0MTQ,34,36,97783,616,3,3,1.0,3,1793.3333333333333,1793.3333333333333,5380,240112.0,240112.0,1
MzEzMDU0NTA,34,36,15653,198,3,3,1.0,3,200.33333333333334,200.33333333333334,601,15600.333333333334,15600.333333333334,1
MzEzMDU1NTg,34,36,94683,164,3,3,1.0,3,100.33333333333333,100.33333333333333,301,64516.0,64516.0,1
MzEzMDU1OTE,34,36,50316,411,3,3,1.0,3,348.6666666666667,348.6666666666667,1046,42098.0,42098.0,1
MzEzMDU4NDQ,34,36,83515,325,3,3,1.0,3,377.0,377.0,1131,82335.0,82335.0,1
MzEzMDU4NjY,34,36,15859,57,3,3,1.0,3,79.0,79.0,237,19175.0,19175.0,1
MzEzMDYyMDA,34,36,145842,484,3,3,1.0,3,610.6666666666666,610.6666666666666,1832,168690.66666666666,168690.66666666666,1
MzEzMDYyMzU,34,36,218263,1452,3,3,1.0,3,1270.3333333333333,1270.3333333333333,3811,189213.33333333334,189213.33333333334,1
MzEzMDY0MzQ,34,36,30919,152,3,3,1.0,3,142.33333333333334,142.33333333333334,427,30503.333333333332,30503.333333333332,1
MzEzMDY1OTc,34,36,42868,232,3,3,1.0,3,375.0,375.0,1125,60841.333333333336,60841.333333333336,1
MzEzMDY3Mjc,34,34,48607,207,1,1,1.0,1,207.0,207.0,207,48607.0,48607.0,1
MzEzMDY3NjQ,34,36,92351,668,3,3,1.0,3,422.0,422.0,1266,55788.333333333336,55788.333333333336,1
MzEzMDY4NTc,34,36,108656,415,3,3,1.0,3,502.0,502.0,1506,93065.0,93065.0,1
MzEzMDcwODc,34,35,60229,401,2,2,1.0,2,301.0,301.0,602,43171.5,43171.5,1
MzEzMDgwNzg,34,36,529757,5318,3,3,1.0,3,5193.0,5193.0,15579,511148.0,511148.0,1
MzEzMDgzMDA,34,35,42915,199,2,2,1.0,2,199.5,199.5,399,42790.0,42790.0,1
MzEzMDg0OTE,35,35,92165,545,1,1,1.0,1,545.0,545.0,545,92165.0,92165.0,1
MzEzMDg1MTk,34,36,1563926,11759,3,3,1.0,3,11147.666666666666,11147.666666666666,33443,1520195.0,1520195.0,1
MzEzMDg1NTU,34,36,188929,1387,3,3,1.0,3,1545.3333333333333,1545.3333333333333,4636,242591.0,242591.0,1
MzEzMDg1NjM,36,36,44136,111,1,1,1.0,1,111.0,111.0,111,44136.0,44136.0,1
MzEzMDg3NDU,34,36,69529,242,3,3,1.0,3,204.66666666666666,204.66666666666666,614,55833.333333333336,55833.333333333336,1
MzEzMDg3NDY,35,36,70301,218,2,2,1.0,2,255.5,255.5,511,79961.5,79961.5,1
MzEzMDg4NzU,34,36,498713,1566,3,3,1.0,3,1371.0,1371.0,4113,426850.0,426850.0,1
MzEzMDg4OTk,34,36,512556,1635,3,3,1.0,3,3521.0,3521.0,10563,908079.0,908079.0,1
